Name,Event Description
Manik Jore Seva Sangha,social services education and research environment construction disaster emergency prevention control recreation clubs libraries information centres archives homes for children day care handicapped development housing employment training consultancy grassroots community organisations health sanitation the aged adolescents adults artisans artists blood donors commercial sex workers affected displaced persons domestic elderly farmers farm labourers freedom fighters girl child healthcare hiv homeless juvenile medical practioners mentally challenged ngos organ orphans patients physically plants prisoners rural poor sportspersons street students teachers women youth west bengal
Nityaasha Foundation,health sanitation adolescents children girl child juvenile patients physically challenged rural poor slum dwellers students teachers urban women maharashtra
PRAGATEE FOUNDATION,education and research environment recreation social clubs homes for children dramatic arts music other activities employment training the aged libraries information centres archives manufacturing it services consultancy health sanitation sporting welfare guidance adults disaster affected elderly farmers farm labourers girl child healthcare workers ngos orphans patients rural poor slum dwellers sportspersons street students teachers tribals urban volunteers women youth jammu kashmir
TINKU MEMORIAL TRUST,social services environment protection activities for animals and birds animal lovers youth urban rural gujarat
Amba Angels Parents Association for Special Children,education and research day care centres for handicapped employment training homes the health sanitation consultancy services welfare guidance activities children mentally challenged physically urban rural gujarat
BHARTIYA JAN JEEVAN KALYAN SEWA SAMITI,education and research news media law advocacy politics recreation social clubs libraries information centres archives employment training grassroots community development organisations health sanitation professional services travel tourists assistance accident victims adults blood donors children construction workers displaced persons domestic factory farmers farm labourers firemen girl child healthcare hiv ngos plants policemen porters prisoners rickshawallahs drivers rural poor sportspersons street students teachers truckers urban volunteers weavers women youth uttar pradesh
DARBAR SAHITYA SANSADA,social services environment construction disaster emergency prevention and control recreation clubs employment training consultancy grassroots community development organisations health sanitation agriculture protection activities for animals birds adolescents artisans children workers dalits affected farmers farm labourers girl child migrants plants tribals urban poor women youth rural odisha
Edufun Foundation Trust,social services clothing other material assistance education and research environment disaster emergency prevention control health sanitation homes for the handicapped mid day meals food distribution protection activities animals birds consultancy welfare guidance children adolescents adults animal lovers artisans artists beggars blood donors commercial sex workers construction dalits affected displaced persons domestic elderly factory farmers farm labourers firemen girl child healthcare hiv homeless juvenile lesbian gays bisexuals transgender medical practioners mentally challenged ngos organ orphans patients physically plants porters prisoners rickshawallahs drivers rural poor scavengers human slum dwellers street students tribals urban volunteers weavers women youth gujarat
EEGA TRUST,social services education and research clothing other material assistance disaster emergency prevention control accident victims adolescents adults children dalits affected displaced persons domestic workers elderly factory farmers farm labourers girl child homeless migrants ngos organ donors orphans patients physically challenged plants rural poor salt students tribals urban volunteers women youth tamil nadu
Humane Animal Society (HAS),social services environment health sanitation law advocacy and politics protection activities for animals birds agriculture development housing animal lovers urban rural tamil nadu
Integrated Rural Livelihood Development Foundation,nan grassroots community development organisations health sanitation education and research environment construction employment training social services consultancy transport activities adults children commercial sex workers dalits factory farmers farm labourers firemen healthcare juvenile migrants ngos orphans patients physically challenged prisoners rickshawallahs drivers rural poor slum dwellers street students tribals truckers urban volunteers women youth maharashtra
LOK VIKAS EVAM MANAV SANSADHAN SANSTHAN ALWAR (NGO),culture and recreation grassroots community development organisations activities of religious architectural engineering other technical environment education research collection purification distribution water homes for children day care centres handicapped employment training funeral related health sanitation social services the libraries information archives mid meals food nursing clubs consultancy accident victims animal lovers animals birds armed forces beggars blood donors chronically ill commercial sex workers construction dalits disaster affected displaced persons domestic elderly ethnic groups factory farmers farm labourers firemen freedom fighters girl child healthcare hiv homeless juvenile mentally challenged migrants ngos organ orphans patients physically plants policemen porters prisoners rickshawallahs drivers rural poor slum dwellers sportspersons street students teachers tribals truckers urban volunteers weavers women youth rajasthan
M. B. BARVALIA FOUNDATION,health sanitation homes for children day care centres handicapped education and research grassroots community development organisations nursing social services consultancy adolescents elderly girl child hiv juvenile mentally challenged patients physically slum dwellers street students teachers urban poor women youth maharashtra
Resource & Support Centre for Development,law advocacy and politics education research women rural maharashtra
Sambhawana,social services consultancy grassroots community development organisations health sanitation education and research news media environment business professional associations unions law advocacy politics clothing other material assistance collection purification distribution of water disaster emergency prevention control recreation clubs libraries information centres archives homes for children day care handicapped housing dramatic arts music activities employment training the aged international manufacturing museums preservation historical sites nursing it protection animals birds refugee sporting agriculture travel tourists welfare guidance accident victims adolescents adults animal lovers armed forces artisans artists beggars blood donors chronically ill commercial sex workers construction dalits affected displaced persons domestic elderly ethnic groups factory farmers farm labourers firemen freedom fighters girl child healthcare hiv homeless juvenile mentally challenged migrants ngos organ orphans patients physically plants policemen porters prisoners refugees rickshawallahs drivers rural poor scavengers human slum dwellers street students tribals truckers urban volunteers war weavers women youth bihar
Shubhi Education Foundation,education and research homes for children employment training urban rural gujarat
SUNIYE,education and research children urban rural delhi
VOCATIO CAREER EDUCATION COUNCIL,education and research consultancy services adolescents children girl child ngos orphans students volunteers youth urban rural andhra pradesh
Christian Organization for Social Service,social services education and research homes for children employment training health sanitation adults girl child homeless orphans rickshawallahs drivers rural poor street tribals urban women madhya pradesh
JAZZBA FOUNDATION,social services education and research employment training grassroots community development organisations professional associations unions adults artisans beggars dalits domestic workers ethnic groups girl child homeless porters rickshawallahs drivers rural poor slum dwellers students teachers tribals urban volunteers weavers women youth rajasthan
Neshna Trust,social services employment and training environment health sanitation girl child healthcare workers hiv medical practioners women youth urban rural andhra pradesh
PRAGATISHEEL MAHILA SAMITI,social services health sanitation development and housing marriage bureaus consultancy refugee assistance accident victims adolescents adults children commercial sex workers domestic elderly girl child homeless juvenile physically challenged policemen prisoners rural poor slum dwellers volunteers women youth urban rajasthan
Prajayatna,education and research adolescents adults children juvenile mentally challenged migrants physically rural poor slum dwellers street students teachers tribals urban women youth andhra pradesh
UJJWAL PRATISHTHAN,social services construction homes for children day care centres handicapped environment education and research the aged marriage bureaus consultancy welfare guidance activities accident victims adolescents adults animals birds beggars workers dalits domestic elderly ethnic groups factory farmers farm labourers freedom fighters girl child healthcare hiv homeless legal ngos rickshawallahs drivers rural poor slum dwellers street students tribals urban volunteers war weavers women youth maharashtra
AASHNA FOUNDATION,health education and research sanitation protection activities for animals birds consultancy services welfare guidance children adults blood donors elderly factory workers patients women youth urban rural karnataka
Digital Green Trust,social services libraries and information centres archives grassroots community development organisations health sanitation adults farmers farm labourers rural andhra pradesh
Environmentalist Foundation of India,environment education and research recycling of non metal waste development housing social services transport activities animal lovers animals birds children tribals urban poor volunteers youth rural meghalaya
Sports Coaching Foundation,culture and recreation social clubs refugee assistance welfare guidance activities for children adolescents girl child homeless juvenile ngos orphans rural poor sportspersons street urban volunteers youth andhra pradesh
SWARAJYA BAHUUDESHIYA ASSOCIATION,education and research grassroots community development organisations health sanitation law advocacy politics activities of religious news media architectural engineering other technical consultancy services clothing material assistance collection purification distribution water environment construction homes for children employment training libraries information centres archives manufacturing social housing sporting agriculture associations unions travel tourists protection animals birds transport welfare guidance accident victims adults animal lovers armed forces artisans artists blood donors workers domestic elderly factory farmers farm labourers freedom fighters girl child healthcare hiv homeless legal mentally challenged ngos organ orphans patients physically plants policemen prisoners refugees rickshawallahs drivers rural poor salt scavengers human sportspersons street students teachers tribals urban volunteers war women youth maharashtra
Vanavil Trust,education and research employment training health sanitation homes for children mid day meals food distribution development housing adolescents adults beggars dalits disaster affected girl child homeless juvenile rural poor street students tribals youth tamil nadu
"Women, Media & News Trust",law advocacy and politics news media adults construction workers dalits farmers farm labourers healthcare legal ngos rural poor youth bihar
CHIKITSA,health sanitation welfare and guidance activities for children adolescents adults beggars construction workers domestic elderly homeless juvenile mentally challenged migrants patients physically rickshawallahs drivers slum dwellers street urban poor women youth delhi
COODU (Community Organisation for Oppressed and Depressed Upliftment),social services environment adults beggars children disaster affected factory workers hiv slum dwellers students teachers urban rural tamil nadu
MARGADARSHI THE ASSOCIATION FOR  PHYSICALLY CHALLENGED,health sanitation homes for the handicapped development and housing education research consultancy services welfare guidance activities children adolescents adults physically challenged rural poor students urban women youth karnataka
AAJEEVIKA BUREAU TRUST,social services law advocacy and politics development housing employment training consultancy grassroots community organisations health sanitation education research associations unions adults construction workers domestic factory farmers farm labourers homeless migrants ngos patients porters rickshawallahs drivers rural poor slum dwellers urban women youth gujarat
All India Security Council,social services grassroots community development organisations education and research news media architectural engineering other technical activities of religious environment consultancy business professional associations unions law advocacy politics clothing material assistance collection purification distribution water construction health sanitation disaster emergency prevention control recreation clubs libraries information centres archives homes for children day care handicapped housing dramatic arts music employment training funeral related the aged mid meals food museums preservation historical sites nursing transport it welfare guidance accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors chronically ill commercial sex workers dalits affected displaced persons domestic elderly ethnic groups factory farmers farm labourers firemen freedom fighters girl child healthcare hiv homeless juvenile legal lesbian gays bisexuals transgender medical practioners mentally challenged migrants orphans patients physically plants policemen porters prisoners refugees rickshawallahs drivers rural poor sportspersons street students teachers tribals truckers urban volunteers women youth andaman nicobar islands
COOCH BEHAR HIMALAYAN NATURE DEVELOPMENT SOCIETY,health sanitation blood donors children healthcare workers hiv patients urban rural west bengal
EARTH FOUNDATION,social services education and research news media environment recreation clubs libraries information centres archives employment training it health sanitation protection activities for animals birds travel tourists assistance consultancy welfare guidance children adults animal lovers artisans artists dalits domestic workers farmers farm labourers girl child healthcare plants rural poor sportspersons students teachers tribals weavers women youth urban gujarat
Omkaram Educational Society,social services grassroots community development organisations libraries and information centres archives homes for children day care handicapped education research employment training environment consultancy health sanitation the accident victims farmers farm labourers girl child healthcare workers ngos policemen rural poor street students tribals volunteers war women youth urban andhra pradesh
`Sahaj' (An Organisation for Women's Development),social services employment and training grassroots community development organisations manufacturing agriculture artisans children dalits farmers farm labourers girl child rural poor tribals women gujarat
Shiv Physical Education And Environment Development (Speed) Society,health grassroots community development organisations education and research environment recreation social clubs it services sanitation adolescents adults children chronically ill farmers farm labourers healthcare workers migrants rural poor slum dwellers women youth urban uttar pradesh
SHUBHAKSHIKA EDUCATIONAL SOCIETY,education and research clothing other material assistance homes for children employment training mid day meals food distribution consultancy services social development housing adolescents adults beggars homeless juvenile orphans street students urban poor youth delhi
SKS Chakshu Foundation,nan consultancy services education and research health sanitation employment training law advocacy politics adolescents adults elderly farmers farm labourers girl child physically challenged rural poor students tribals women youth maharashtra
Sri Sai Baba Mahila Society,social services construction development and housing artisans tribals weavers women rural andhra pradesh
AGNI FOUNDATION,social services education and research homes for children the aged handicapped environment it homeless mentally challenged ngos orphans physically women urban rural tamil nadu
CHINTAN ENVIRONMENTAL RESEARCH AND ACTION GROUP,social services law advocacy and politics education research employment training environment grassroots community development organisations health sanitation consultancy welfare guidance activities for children adolescents adults women youth urban delhi
KIRAN Society,health sanitation homes for children day care centres handicapped grassroots community development organisations the education and research social services adolescents mentally challenged physically rural poor women bihar
NALANTHA EDUCATIONAL TRUST,social services day care centres for handicapped environment health sanitation homes the aged employment and training education research mid meals food distribution consultancy professional organisations development housing agriculture welfare guidance activities children adolescents adults artisans beggars commercial sex workers construction dalits disaster affected displaced persons domestic elderly farmers farm labourers girl child hiv homeless mentally challenged migrants ngos orphans patients physically plants rural poor scavengers human slum dwellers street students tribals truckers urban volunteers women youth tamil nadu
Partnering Hope Into Action Foundation,education and research disaster emergency prevention control children construction workers dalits affected farmers farm labourers girl child homeless rural poor scavengers human slum dwellers tribals urban women delhi
The Last Truth Foundation,social services education and research collection purification distribution of water homes for children day care centres handicapped dramatic arts music other activities employment training environment grassroots community development organisations the aged housing disaster emergency prevention control manufacturing it consultancy health sanitation accident victims adolescents adults artists beggars commercial sex workers construction dalits affected displaced persons domestic elderly factory farmers farm labourers girl child healthcare homeless juvenile migrants ngos organ donors orphans patients plants rural poor slum dwellers street students teachers urban volunteers women youth maharashtra
SOCIAL EMPOWERMENT AND AGRICULTURE DEVELOPMENT AGENCY (SEADA),social services environment day care centres for handicapped disaster emergency prevention and control homes the protection activities animals birds agriculture education research consultancy children dalits affected farmers farm labourers mentally challenged physically rural poor tribals urban jharkhand
"WORKSHOP FOR REHABILITATION AND TRAINING FOR THE HANDICAPPED TRUST, WORTH TRUST",social services day care centres for handicapped employment and training manufacturing consultancy education research welfare guidance activities children factory workers mentally challenged physically students urban rural tamil nadu
YUVA UMANG PUBLIC WELFARE SOCIETY SAMITI,social services law advocacy and politics activities of religious organisations education research employment training environment health sanitation it consultancy protection for animals birds welfare guidance children adolescents adults animal lovers blood donors dalits displaced persons farmers farm labourers girl child healthcare workers legal medical practioners ngos physically challenged plants rickshawallahs drivers rural poor scavengers human street students teachers tribals urban volunteers women youth madhya pradesh
Bhadranag Information Technology And Educational Society,education and research libraries information centres archives it services adults blood donors students tribals women youth urban rural maharashtra
Brahmi Educational and Cultural Trust,education and research dramatic arts music other activities employment training environment homes for children agriculture animals birds rural poor street karnataka
Chandana Art Foundation International,culture and recreation education research environment social clubs dramatic arts music other activities employment training grassroots community development organisations disaster emergency prevention control libraries information centres archives services travel tourists assistance consultancy artisans artists children elderly farmers farm labourers girl child ngos physically challenged rural poor sportspersons street students teachers tribals urban volunteers weavers women youth andhra pradesh
"CREDIT-I (Center for Rural, Education, Development and Innovative Technologies of India)",development and housing consultancy services law advocacy politics education research environment recreation social clubs disaster emergency prevention control dramatic arts music other activities employment training grassroots community organisations international human rights peace mid day meals food distribution health sanitation news media sporting agriculture adolescents adults children dalits affected elderly farmers farm labourers girl child healthcare workers hiv homeless mentally challenged ngos orphans physically prisoners rural poor scavengers slum dwellers sportspersons street students teachers tribals urban volunteers women youth karnataka
Health Institute for Mother and Child (Mamta),social services health sanitation adolescents children girl child hiv urban poor women youth rural andhra pradesh
MORIGAON MAHILA MEHFIL,social services education and research development housing disaster emergency prevention control employment training environment health sanitation homes for children law advocacy politics manufacturing it consultancy agriculture protection activities animals birds transport adolescents adults artisans affected elderly farmers farm labourers girl child healthcare workers homeless juvenile mentally challenged ngos orphans patients physically rural poor street students tribals urban volunteers weavers women youth assam
NIIT Foundation,education and research employment training adolescents ngos students youth urban rural assam
Shri Cheyutha Charitable Trust,social services education and research employment training health sanitation homes for children the aged adults dalits elderly girl child homeless orphans rural poor street urban andhra pradesh
Snehdeep Bahuuddeshiya Gramin Vikas Sanstha,social services education and research consultancy law advocacy politics clothing other material assistance environment construction health sanitation disaster emergency prevention control recreation clubs homes for children day care centres handicapped development housing dramatic arts music activities employment training grassroots community organisations the aged international associations libraries information archives manufacturing mid meals food distribution nursing it transport protection animals birds professional sporting agriculture unions accident victims adults animal lovers artists workers dalits girl child healthcare homeless medical practioners mentally challenged ngos organ donors patients plants rural poor students tribals volunteers women youth urban maharashtra
Social and Healthy Action for Rural Empowerment,social services law advocacy and politics environment construction development housing employment training grassroots community organisations health sanitation agriculture welfare guidance activities for children adolescents adults artisans artists blood donors chronically ill dalits disaster affected displaced persons domestic workers elderly ethnic groups farmers farm labourers girl child healthcare hiv homeless migrants ngos patients physically challenged plants rural poor slum dwellers street students teachers tribals truckers urban volunteers weavers women youth bihar
Suraj Foundation,education and research employment training social services it sporting activities development housing agriculture travel tourists assistance consultancy artists children farmers farm labourers ngos rural poor students teachers women youth urban karnataka
Team Everest,education and research adolescents adults blood donors children disaster affected domestic workers elderly girl child homeless ngos orphans physically challenged rural poor slum dwellers street students teachers tribals urban volunteers women youth karnataka
Aai Janhit Bahuuddeshiy Sevabhavi Sanstha,philanthropic intermediaries and voluntarism promotion homes for children welfare guidance activities orphans urban rural maharashtra
AHEAD,social services education and research adults children mentally challenged physically women youth urban rural west bengal
BINDU,social services law advocacy and politics environment disaster emergency prevention control dramatic arts music other activities education research employment training grassroots community development organisations recycling of non metal waste associations unions consultancy adolescents adults artisans children affected displaced persons farmers farm labourers girl child ngos slum dwellers students urban poor volunteers women youth rural delhi
Fight Hunger Foundation,health sanitation adolescents adults children women urban rural madhya pradesh
GRAMALAYA TRUST,environment adolescents rural poor urban women youth andhra pradesh
GUJARAT MAHILA HOUSING SEWA TRUST,development and housing construction employment training grassroots community organisations social services workers rural poor slum dwellers tribals urban women bihar
HALDER INSTITUTE OF CAREER MAKING,education and research law advocacy politics recreation social clubs dramatic arts music other activities it services consultancy welfare guidance for children adults animal lovers animals birds artisans artists blood donors elderly girl child juvenile legal workers ngos orphans patients plants rickshawallahs drivers rural poor slum dwellers students teachers women youth urban west bengal
HARSHA TRUST,environment collection purification and distribution of water employment training consultancy services grassroots community development organisations professional education research agriculture animals birds women urban rural odisha
Jan-Daksha Trust,social services grassroots community development organisations health sanitation consultancy accident victims adolescents adults chronically ill construction workers displaced persons domestic factory farmers farm labourers migrants patients rural poor slum dwellers tribals urban women youth rajasthan
KARM MARG CHARITABLE SOCIETY,social services homes for children adolescents adults animals birds girl child orphans street women youth urban rural delhi
MOHAMMADIA EDUCATIONAL AND WELFARE SOCIETY,education and research recreation social clubs homes for children employment training funeral related activities the aged international human rights peace organisations law advocacy politics health sanitation consultancy services welfare guidance adults dalits domestic workers elderly factory farmers farm labourers girl child hiv legal medical practioners migrants ngos patients physically challenged plants rickshawallahs drivers rural poor students tribals urban volunteers war victims women youth bihar
Mountain Children's Foundation,social services law advocacy and politics grassroots community development organisations recreation clubs welfare guidance activities for children adolescents disaster affected displaced persons domestic workers elderly ethnic groups girl child juvenile mentally challenged migrants ngos orphans physically rural poor slum dwellers street students youth urban tripura
National Informatics Service Centre (NISC),nan grassroots community development organisations education and research news media architectural engineering other technical activities of religious environment consultancy services business professional associations unions law advocacy politics clothing material assistance collection purification distribution water libraries information centres archives employment training health sanitation marriage bureaus social travel tourists it welfare guidance for children accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors chronically ill commercial sex workers construction dalits disaster affected displaced persons domestic elderly ethnic groups factory farmers farm labourers firemen freedom fighters girl child healthcare hiv homeless juvenile legal lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ orphans patients physically plants policemen porters prisoners refugees rickshawallahs drivers rural poor salt scavengers human slum dwellers sportspersons street students teachers tribals truckers urban volunteers war weavers women youth tamil nadu
RESQUE AND OXYGEN SOCIETY,social services education and research employment training environment grassroots community development organisations adults children elderly girl child healthcare workers patients plants rural poor students women youth urban west bengal
SAI SHRADDHA FOUNDATION,education and research employment training adults children girl child street students urban poor youth rural maharashtra
SEED,social services environment disaster emergency prevention and control education research employment training health sanitation welfare guidance activities for children adolescents adults affected displaced persons farmers farm labourers girl child homeless migrants plants refugees rural poor tribals women youth west bengal
SHELTER ASSOCIATES,development and housing health sanitation urban poor maharashtra
SWASTH FOUNDATION,health sanitation nursing homes adolescents adults children chronically ill elderly girl child patients slum dwellers urban poor women maharashtra
WHEREVER THE NEED INDIA SERVICES,health sanitation education and research agriculture adolescents adults children dalits disaster affected displaced persons girl child ngos physically challenged rural poor slum dwellers students teachers urban women youth puducherry
Young Mens Christian Association of Gandhidham,social services grassroots community development organisations education and research disaster emergency prevention control dramatic arts music other activities employment training environment homes for children the aged handicapped health sanitation international human rights peace consultancy refugee assistance sporting housing agriculture accident victims adolescents adults animal lovers artisans artists beggars blood donors chronically ill commercial sex workers construction dalits affected displaced persons domestic ethnic groups factory farmers farm labourers firemen freedom fighters girl child healthcare hiv homeless juvenile lesbian gays bisexuals transgender mentally challenged migrants organ orphans patients physically plants prisoners refugees rickshawallahs drivers rural poor scavengers slum dwellers sportspersons street students teachers tribals truckers urban volunteers weavers women youth gujarat
ZMQ Development,health education and research sanitation adolescents children chronically ill girl child healthcare workers mentally challenged ngos patients physically rural poor women youth delhi
ABINASHPUR SOCIAL WELFARE ASSOCIATE,health education and research employment training sanitation adolescents adults children healthcare workers medical practioners patients rural poor students urban women youth west bengal
Action Research and Training for Health society,health sanitation adolescents adults children elderly healthcare workers patients rural poor tribals women urban rajasthan
ALTERNATIVE FOR RURAL MOVEMENT,social services clothing other material assistance environment development and housing disaster emergency prevention control education research grassroots community organisations health sanitation mid day meals food distribution it consultancy agriculture welfare guidance activities for children adolescents adults dalits affected displaced persons domestic workers elderly farmers farm labourers firemen girl child healthcare hiv homeless rural poor street students volunteers women youth odisha
ASSOCIATION FOR SOCIAL HEALTH IN INDIA,social services grassroots community development organisations employment and training housing children girl child students women urban rural delhi
BHOJPUR MAHILA KALA KENDRA,social services education and research consultancy law advocacy politics clothing other material assistance recreation clubs homes for children disaster emergency prevention control employment training environment grassroots community development organisations health sanitation associations unions international manufacturing agriculture welfare guidance activities adolescents adults artisans dalits affected domestic workers elderly farmers farm labourers girl child homeless ngos orphans plants prisoners rural poor slum dwellers street students teachers urban volunteers weavers women youth bihar
Dalit Association for Social and Human Rights Awareness (DASHRA),social services grassroots community development organisations health sanitation education and research environment consultancy law advocacy politics clothing other material assistance collection purification distribution of water construction homes for children day care centres handicapped housing disaster emergency prevention control dramatic arts music activities employment training funeral related the aged associations unions international human rights peace transport libraries information archives architectural engineering technical manufacturing marriage bureaus mid meals food news media museums preservation historical sites nursing it protection animals birds professional recreation clubs recycling metal waste non refugee sporting agriculture travel tourists welfare guidance accident victims adolescents adults animal lovers armed forces artisans artists beggars blood donors chronically ill commercial sex workers dalits affected displaced persons domestic elderly ethnic groups factory farmers farm labourers firemen freedom fighters girl child healthcare hiv homeless juvenile legal lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ orphans patients physically plants policemen porters prisoners refugees rickshawallahs drivers rural poor salt scavengers slum dwellers sportspersons street students teachers tribals truckers urban volunteers war weavers women youth bihar
FACE (Foundation for Awareness Counselling and Education),education and research adults children girl child students women rural jharkhand
GOODWILL  FOUNDATION,social services environment development and housing disaster emergency prevention control education research grassroots community organisations health sanitation agriculture children farmers farm labourers juvenile rural poor students tribals urban women youth arunachal pradesh
Pragati Jubak Sangha,social services environment disaster emergency prevention and control health sanitation welfare guidance activities for children adolescents girl child physically challenged rural poor teachers women youth urban odisha
Pushp-kiran Union for Real Enlightenment (PURE),education and research employment training grassroots community development organisations health sanitation homes for children the handicapped law advocacy politics libraries information centres archives social services consultancy artisans beggars blood donors chronically ill construction workers dalits disaster affected displaced persons domestic elderly factory farmers farm labourers girl child homeless medical practioners ngos orphans patients physically challenged rickshawallahs drivers rural poor slum dwellers sportspersons street students teachers tribals urban volunteers weavers women youth delhi
SHRI VIGHNAHARTA SHIKSHAN KREEDA AND BAHUDDESHIYA SANSTHA,nan grassroots community development organisations accident victims adolescents adults animal lovers children commercial sex workers construction disaster affected displaced persons domestic elderly ethnic groups factory farmers farm labourers firemen freedom fighters girl child juvenile legal medical practioners migrants ngos organ donors patients physically challenged plants rural poor maharashtra
Social Entrepreneurs Foundation India,social services adolescents adults animal lovers artisans children commercial sex workers dalits domestic elderly farmers farm labourers girl child ngos rural poor slum dwellers street students urban women youth andhra pradesh
SOCIO ECONOMIC ALTERNATIVES RESEARCH AND RESOURCE COMMUNITY FOR HUMANITY,nan education and research law advocacy politics environment construction homes for children disaster emergency prevention control consultancy services grassroots community development organisations health sanitation employment training social housing agriculture adolescents adults dalits affected farmers farm labourers girl child orphans physically challenged rural poor street students tribals urban weavers women youth andhra pradesh
Supporting Association for Thematic and Holistic Initiatives (SATHI),social services health sanitation ngos rural poor students volunteers women youth uttar pradesh
"The Development on Communication, Arts & Culture, Science,Economic & Education Centre",social services health sanitation education and research law advocacy politics clothing other material assistance collection purification distribution of water environment construction disaster emergency prevention control recreation clubs homes for children development housing employment training grassroots community organisations the aged libraries information centres archives manufacturing mid day meals food nursing consultancy agriculture transport activities welfare guidance adolescents adults artists beggars blood donors affected displaced persons domestic workers elderly farmers farm labourers girl child healthcare hiv ngos orphans patients plants street students weavers women youth urban rural karnataka
BHAGWAN MANAV KALYAN SAMITI,social services education and research law advocacy politics employment training environment grassroots community development organisations health sanitation international human rights peace welfare guidance activities for children adults dalits farmers farm labourers girl child mentally challenged rural poor women youth uttar pradesh
CHARAK SWASTHYA BAHUUDHESIA SANSTHA,social services law advocacy and politics environment recreation clubs homes for children dramatic arts music other activities manufacturing marriage bureaus health sanitation consultancy education research agriculture adults animals birds artisans artists blood donors farmers farm labourers healthcare workers hiv juvenile legal mentally challenged plants rural poor sportspersons teachers women youth urban maharashtra
OSCAR(Organisation for Social Change Awareness and Responsibility) Foundation,education and research adolescents children girl child ngos students volunteers youth urban delhi
Rural Foundation,education and research environment construction homes for children employment training manufacturing mid day meals food distribution museums preservation of historical sites nursing it services health sanitation social development housing agriculture transport activities welfare guidance adults elderly farmers farm labourers girl child ngos rural poor street students teachers tribals volunteers women youth urban maharashtra
Sadvichar Parivar,social services health sanitation education and research grassroots community development organisations it adolescents adults children disaster affected domestic workers elderly girl child patients physically challenged students teachers urban poor women youth rural gujarat
Sakal Social Foundation,social services collection purification and distribution of water construction recreation clubs day care centres for handicapped disaster emergency prevention control dramatic arts music other activities education research health sanitation homes the libraries information archives news media adolescents adults artists blood donors children affected elderly farmers farm labourers girl child healthcare workers medical practioners orphans patients physically challenged plants policemen rural poor street students tribals urban volunteers women youth maharashtra
"SHABARI BAHUUDDEISHIYA MANDAL, SURWANI",social services construction employment and training environment education research homes for children the aged it sporting activities development housing welfare guidance accident victims adolescents adults animal lovers artisans beggars blood donors workers dalits domestic factory freedom fighters girl child healthcare hiv homeless mentally challenged migrants orphans patients physically plants porters volunteers war weavers women youth urban rural maharashtra
SONALI MAHILA VIKAS CHARITABLE TRUST,social services education and research welfare guidance activities for children adults artisans tribals weavers women youth urban rural gujarat
Access Life Assistance Foundation,health sanitation homes for children development and housing chronically ill urban rural maharashtra
AIDENT SOCIAL WELFARE ORGANISATION,health education and research sanitation consultancy services social welfare guidance activities for children adolescents adults commercial sex workers girl child healthcare hiv homeless juvenile migrants rural poor slum dwellers street students urban women youth bihar
ASSOCIATION FOR NEGLECTED GROUP AND EVANGELICAL LEADERSHIP,social services homes for children day care centres handicapped disaster emergency prevention and control education research employment training environment adolescents adults dalits affected farmers farm labourers girl child healthcare workers orphans patients physically challenged refugees rickshawallahs drivers rural poor slum dwellers street tribals urban women youth odisha
GRAMEEN VIKAS SANSTHA,health education and research grassroots community development organisations homes for the aged welfare guidance activities children adolescents adults artisans commercial sex workers elderly girl child hiv migrants patients urban rural uttar pradesh
International Rural Education & Cultural Association,education and research environment construction recreation social clubs homes for children development housing employment training grassroots community organisations health sanitation services adolescents girl child healthcare workers migrants ngos patients physically challenged rural poor street students tribals women youth gujarat
Jayavantrao Ghyar Patil Sevabhavi Sanstha,education and research health sanitation news media law advocacy politics environment employment training grassroots community development organisations consultancy services social agriculture adolescents adults animals birds children elderly farmers farm labourers rural poor students women youth urban maharashtra
LALITYA FOUNDATION,culture and recreation health sanitation homes for children the aged handicapped social services consultancy artisans artists beggars blood donors commercial sex workers construction disaster affected displaced persons elderly farmers farm labourers girl child hiv homeless ngos students youth urban rural maharashtra
MOTTO CHILDREN'S NEW WAY (NO MORE CHILD LABOURS AND BEGGARS FOREVER),social services education and research environment homes for children day care centres handicapped development housing welfare guidance activities beggars elderly farmers farm labourers freedom fighters girl child healthcare workers homeless juvenile mentally challenged orphans physically plants refugees rural poor slum dwellers street students tribals urban volunteers women youth tamil nadu
Root Institute for Wisdom Culture Charitable Trust,social services health sanitation activities of religious organisations recreation and clubs development housing libraries information centres archives education research protection for animals birds adolescents adults children chronically ill hiv patients rural poor bihar
Shree Bidada Sarvodaya Trust,health education and research employment training sanitation disaster emergency prevention control accident victims adolescents adults blood donors children chronically ill elderly girl child healthcare workers hiv juvenile medical practioners mentally challenged orphans patients physically rural poor street students urban war women youth gujarat
St. Xavier's Non-Formal Education Society,education and research law advocacy politics social services children construction workers dalits homeless legal migrants slum dwellers tribals urban poor volunteers women youth rural gujarat
The Young Citizen of India Charitable Trust,social services employment and training health sanitation adolescents farmers farm labourers girl child healthcare workers rural poor students teachers tribals urban volunteers women youth gujarat
AAJEEVIKA EDUCATIONAL TRAINING FOUNDATION,education and research employment training it services children construction workers domestic mentally challenged migrants ngos organ donors orphans patients plants rural poor students teachers tribals urban volunteers weavers women youth madhya pradesh
