Name,Description
CITIZEN DEVELOPMENT INSTITUTE,social services rural uttar pradesh rural poor
COMPUTER SHIKSHA,education and research urban rural all india children girl child juvenile migrants slum dwellers students urban poor youth
Corrections India,social services urban rural kerala children orphans students
"CREDIT-I (Center for Rural, Education, Development and Innovative Technologies of India)",development and housing urban rural karnataka adolescents adults children dalits disaster affected elderly farmers farm labourers girl child healthcare workers hiv homeless mentally challenged ngos orphans physically challenged prisoners rural poor scavengers human slum dwellers sportspersons street children students teachers tribals urban poor volunteers women youth
Deeprekha Samajik Sanstha Samiti,social services urban rural madhya pradesh adults women youth
DUYA MEMORIAL CARE SOCIETY,social services urban rural tripura adolescents adults children women youth
Evolution,education and research urban rural delhi adolescents women youth
G-next FOUNDATION,social services urban rural all india accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ donors orphans patients physically challenged plants policemen porters prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers war victims weavers women youth
Good Lamp Organisation for the Depressed Communities,social services urban rural all india adults children hiv women youth
Grassroots Research And Advocacy Movement,law advocacy and politics urban rural all india adults youth
Gyan Sagar,education and research urban rural bihar adolescents adults children youth
HAMDAM FOUNDATION,social services urban rural uttar pradesh adolescents adults children women youth
HEALTH EDUCATION ENVIRONMENT AND LIVELIHOOD SOCIETY,social services urban rural delhi adolescents adults children women youth
Health for All (Andariki Aarogyam),social services rural all india adults children women
Human Research Sanstha,social services urban rural delhi adolescents adults women youth
India Institute,education and research urban rural all india students teachers youth
International Resources For Fairer Trade,social services urban rural maharashtra artisans artists farmers farm labourers ngos tribals weavers women
JAGRUTI BAHUDDESHIYA SANSTHA,social services rural maharashtra adolescents adults women
JANA JAGARITI EDUCATIONAL SOCIETY,social services urban rural delhi adolescents adults women youth
Jivan Jagruti Vaidyakiya Va Samajik Sanstha,social services urban rural maharashtra adolescents adults women youth
JOVITA,social services urban rural all india adolescents adults children women youth
KARUNALAYA FOUNDATION,education and research urban rural all india adults
KEDAR AMAR RESEARCH AND ACADEMIC MANAGEMENT SOCIETY (KARAMS),education and research urban delhi girl child ngos teachers volunteers youth
KOLKATA MOZOOMDER FOUNDATION,international urban rural bihar adults animals birds beggars blood donors children displaced persons domestic workers elderly girl child healthcare workers hiv homeless juvenile legal workers mentally challenged ngos orphans plants refugees rural poor slum dwellers street children students teachers weavers women youth
Laxmi Mahila Mandal,social services rural maharashtra women
LIFE VISION,social services urban rural odisha adults women youth
Health Institute for Mother and Child (Mamta),social services urban rural andhra pradesh adolescents children girl child hiv urban poor women youth
Maranatha Harvest Mission Orphanage,social services urban rural maharashtra adolescents adults children elderly girl child students women youth
MONEYLIFE FOUNDATION,law advocacy and politics urban all india adults
MORIGAON MAHILA MEHFIL,social services urban rural assam adolescents adults artisans children disaster affected elderly farmers farm labourers girl child healthcare workers homeless juvenile mentally challenged ngos orphans patients physically challenged rural poor street children students tribals urban poor volunteers weavers women youth
MOTHER SWAYAM SEVA GRAMINA ABHIVRUDDHI SOUNSTHE,social services rural all india adults
MUKTIDHAM SEVA SANSTHAN,social services urban rural bihar adults children women youth
Narthan Academy of Dance And Music,culture and recreation urban rural all india adolescents children
Nava Jeevana Parents Association For Mentally Challenged People,health urban rural all india mentally challenged
Nayee Disha Educational Society,education and research urban rural bihar ngos rural poor students tribals urban poor women youth
NIIT Foundation,education and research urban rural assam adolescents ngos students youth
Pehchan Foundation,social services urban rural all india adolescents adults women youth
Positive People,health urban rural goa adolescents adults commercial sex workers hiv migrants orphans youth
Powers of 10,philanthropic intermediaries and voluntarism promotion urban rural all india children
PRABHAKAR PATIL EDUCATION SOCIETY,education and research rural maharashtra children students youth
Rural Women and Child Welfare Society,social services rural andhra pradesh adults children rural poor women
SARVA RURAL DEVELOPMENT SOCIETY(R),social services urban rural all india children rural poor urban poor women
SEVADHARAM PATIENT CARE SOCIETY,social services urban rural all india accident victims elderly healthcare workers patients
"Shanti Sahyog (Cooperation for Peace, India)",social services urban rural delhi adults women youth
SHIVCHATRA YUVA BAHUUDESHIYA SHIKSHAN SANSTHAN,social services rural maharashtra adults elderly
SHREE SAPTSHRUNGI EDUCATION SOCIETY,social services urban rural maharashtra adults children women youth
Shri Cheyutha Charitable Trust,social services urban rural andhra pradesh adults children dalits elderly girl child homeless orphans rural poor street children urban poor
SHUBHASHRAYA FOUNDATION TRUST,social services urban rural rajasthan children disaster affected elderly girl child homeless legal workers mentally challenged ngos physically challenged street children students urban poor women youth
Silver Lining Institute of Education,education and research urban rural all india adults domestic workers farmers farm labourers rural poor students tribals urban poor women youth
Snehdeep Bahuuddeshiya Gramin Vikas Sanstha,social services urban rural maharashtra accident victims adults animal lovers artists children construction workers dalits girl child healthcare workers homeless medical practioners mentally challenged ngos organ donors patients plants rural poor students tribals volunteers women youth
Social and Healthy Action for Rural Empowerment,social services rural bihar adolescents adults artisans artists blood donors children chronically ill dalits disaster affected displaced persons domestic workers elderly ethnic groups farmers farm labourers girl child healthcare workers hiv homeless migrants ngos patients physically challenged plants rural poor slum dwellers street children students teachers tribals truckers urban poor volunteers weavers women youth
SOCIETY FOR IMPROVEMENT IN BACKWARD AREAS FOR RURAL DEVELOPMENT AND JESUS MINISTRIES,social services rural all india adults rural poor
SPARSHA,education and research urban rural odisha blood donors children
SPINA BIFIDA FOUNDATION,health urban rural maharashtra chronically ill
SROAT,social services urban rural maharashtra ngos
Suraj Foundation,education and research urban rural karnataka artists children farmers farm labourers ngos rural poor students teachers women youth
Sustainable Training for Empowering People with Shalom-STEPS,social services urban rural all india adults children dalits elderly girl child homeless ngos orphans physically challenged prisoners rural poor slum dwellers street children students teachers tribals urban poor women youth
Suvarna Karnataka Rural and Environment Development Association,social services rural karnataka rural poor
Team Everest,education and research urban rural karnataka adolescents adults blood donors children disaster affected domestic workers elderly girl child homeless ngos orphans physically challenged rural poor slum dwellers street children students teachers tribals urban poor volunteers women youth
V CITIZENS ACTION NETWORK,social services urban maharashtra ngos volunteers youth
Vision Foundation of India,health urban rural bihar children dalits domestic workers elderly factory workers farmers farm labourers ngos patients rickshawallahs drivers rural poor slum dwellers tribals truckers urban poor
VIVEKANAND LOK VIKAS SANSTHAN,social services urban rural uttar pradesh adults
Vivekananda Rock Memorial and Vivekananda Kendra,social services urban rural all india children rural poor students teachers tribals women youth
Voice for Integration Ethics and Welfare Society,social services urban rural maharashtra adults artisans artists street children women youth
WATSLABAI NAIK MAHILA GRAMIN KRUSHI VIKAS BAHUUDDESHIYA SANSTHA,social services urban rural maharashtra adults beggars children chronically ill disaster affected girl child homeless mentally challenged migrants physically challenged plants rickshawallahs drivers rural poor scavengers human tribals urban poor women youth
Yuvak Biradari (Bharat),social services urban rural all india adults women youth
Aai Janhit Bahuuddeshiy Sevabhavi Sanstha,philanthropic intermediaries and voluntarism promotion urban rural maharashtra children orphans
AARUTHAL FOUNDATION,social services urban rural all india adults
AAWAJ JANKALYAN SAMITI?,social services urban rural madhya pradesh adolescents adults beggars children
Agnes Kunze Society,social services urban rural all india street children
AHEAD,social services urban rural west bengal adults children mentally challenged physically challenged women youth
AL-HELAL EDUCATIONAL AND WELFARE SOCIETY,education and research urban rural jharkhand adolescents children
B P S MEMORIAL TRUST,social services urban rural all india healthcare workers hiv slum dwellers street children students women youth
Being Green,environment urban rural all india adults beggars children disaster affected youth
BHARTIYA GRAM SUDHAR SAMITI,education and research urban rural all india adolescents adults artisans children farmers farm labourers girl child healthcare workers juvenile legal workers ngos orphans patients plants rural poor slum dwellers street children tribals urban poor volunteers
BINDU,social services urban rural delhi adolescents adults artisans children disaster affected displaced persons farmers farm labourers girl child ngos slum dwellers students urban poor volunteers women youth
Central Himalayan Environment Association,environment urban rural meghalaya adults animal lovers animals birds artisans children dalits disaster affected displaced persons ethnic groups farmers farm labourers girl child legal workers migrants ngos physically challenged rural poor students teachers tribals volunteers women youth
Centre for Social Equity and Inclusion,social services urban rural delhi adults dalits displaced persons mentally challenged physically challenged rural poor tribals urban poor women
CHILD VOICE,social services urban rural tamil nadu adolescents children girl child street children tribals
CURE International India Trust,health urban rural all india adolescents adults children
DHANWANTRI SEVABHAVI SANSTHA,social services urban rural maharashtra adults women youth
Dnyandayini Pratishthan,education and research urban rural maharashtra adults beggars children girl child rural poor slum dwellers street children students teachers tribals urban poor women youth
Fight Hunger Foundation,health urban rural madhya pradesh adolescents adults children women
Food Education Environment Law Trust (FEEL TRUST),social services urban rural all india adults
FOUNDATION FOR RESEARCH IN HEALTH SYSTEMS,health urban rural all india dalits ethnic groups healthcare workers medical practioners ngos rural poor tribals urban poor women youth
FRIENDS OF SICK ASSOCIATION,health urban rural karnataka accident victims adults disaster affected elderly hiv homeless mentally challenged ngos orphans patients physically challenged street children urban poor
GOODWILL FOUNDATION,environment urban rural assam adults
GRAM VIKAS PARISHAD,social services urban rural bihar adolescents adults children disaster affected displaced persons street children
GRAMALAYA TRUST,environment urban rural andhra pradesh adolescents rural poor urban poor women youth
Grameenmall Foundation,environment urban rural andhra pradesh women
Gramin Vikas Sewa Samiti,health urban rural uttar pradesh commercial sex workers dalits girl child hiv rural poor women youth
Guhagar Taluka Apang Punrvasan Sanstha,social services urban rural maharashtra adults physically challenged rural poor
GUJARAT MAHILA HOUSING SEWA TRUST,development and housing urban rural bihar construction workers rural poor slum dwellers tribals urban poor women
HALDER INSTITUTE OF CAREER MAKING,education and research urban rural west bengal adults animal lovers animals birds artisans artists blood donors children elderly girl child juvenile legal workers ngos orphans patients plants rickshawallahs drivers rural poor slum dwellers students teachers women youth
HARSHA TRUST,environment urban rural odisha animals birds women
HELPING HANDS YOUTH FOUNDATION,social services urban rural all india adults
IDIA Charitable Trust,law advocacy and politics urban rural karnataka legal workers
JAN SHIKSHAN SANSTHAN GOA,social services urban rural goa adolescents adults artisans artists dalits tribals women
Jan-Daksha Trust,social services urban rural rajasthan accident victims adolescents adults chronically ill construction workers displaced persons domestic workers factory workers farmers farm labourers migrants patients rural poor slum dwellers tribals urban poor women youth
Junior Achievement India Services,education and research urban rural andhra pradesh children students
KARM MARG CHARITABLE SOCIETY,social services urban rural delhi adolescents adults animals birds children girl child orphans street children women youth
KUDALKAR FOUNDATION,social services urban rural maharashtra adults women youth
Life Skill Foundation,education and research urban rural gujarat adolescents adults artisans commercial sex workers construction workers dalits ngos policemen slum dwellers street children students teachers tribals volunteers weavers women youth
MAHARSHI ARVIND FOUNDATION,social services urban rural maharashtra adults women youth
MAHILA MANDAL BARMER AGOR,social services urban rural rajasthan children construction workers dalits disaster affected displaced persons domestic workers elderly farmers farm labourers girl child healthcare workers hiv homeless juvenile legal workers mentally challenged ngos orphans physically challenged refugees rural poor salt workers street children students tribals urban poor weavers women youth
MOHAMMADIA EDUCATIONAL AND WELFARE SOCIETY,education and research urban rural bihar adults children dalits domestic workers elderly factory workers farmers farm labourers girl child hiv legal workers medical practioners migrants ngos patients physically challenged plants rickshawallahs drivers rural poor students tribals urban poor volunteers war victims women youth
Mountain Children's Foundation,social services urban rural tripura adolescents children disaster affected displaced persons domestic workers elderly ethnic groups girl child juvenile mentally challenged migrants ngos orphans physically challenged rural poor slum dwellers street children students youth
NAVYUG FOUNDATION,social services urban rural all india adults children women youth
"Nirmal Jyoti Educational and Charitable Society, Ujjain",education and research urban rural madhya pradesh adolescents adults beggars children elderly mentally challenged women youth
NOV LOK WELFARE SOCIETY,health urban rural delhi adolescents adults children hiv homeless medical practioners orphans patients physically challenged tribals urban poor women youth
NUTAN SANJEEVANI SANSTHAN,health urban rural jharkhand accident victims adolescents adults beggars children chronically ill domestic workers elderly mentally challenged physically challenged street children students women youth
P.S.S.Educational Development Society,development and housing urban rural all india disaster affected
Parvati Lokkala Sanwardhan (Pals),social services urban rural maharashtra adults artists women youth
Pavithratha Charitable Trust,social services rural kerala adults elderly homeless
People Animation for United Living Trust (PAUL TRUST),social services urban rural all india adults
PRASAR,health rural all india adolescents adults children construction workers dalits disaster affected elderly farmers farm labourers girl child healthcare workers hiv rural poor volunteers women youth
PRAYATNA FOUNDATION,social services urban rural uttar pradesh women
PRIYADHARSHINI CHARITABLE AND EDUCATIONAL TRUST,education and research urban all india adults students teachers
RESQUE AND OXYGEN SOCIETY,social services urban rural west bengal adults children elderly girl child healthcare workers patients plants rural poor students women youth
S R Educational and Development Trust,environment rural gujarat farmers farm labourers
SADAIV SAMARPIT,social services urban rural jharkhand adults children women youth
SADBHAWANA GRAMIN VIKAS SANSTHAN,social services urban rural uttar pradesh adults women youth
SAI SHRADDHA FOUNDATION,education and research rural maharashtra adults children girl child street children students urban poor youth
SAMAJIK VIKAS SANSTHAN,health rural bihar accident victims adolescents adults animals birds beggars children dalits elderly girl child healthcare workers hiv homeless medical practioners mentally challenged ngos orphans patients plants rural poor students women youth
Samartha Vidya Prasarak Mandal,education and research urban rural maharashtra adults children girl child ngos rural poor students teachers tribals urban poor volunteers women youth
SEED,social services rural west bengal adolescents adults children disaster affected displaced persons farmers farm labourers girl child homeless migrants plants refugees rural poor tribals women youth
SHELTER ASSOCIATES,development and housing urban maharashtra urban poor
SHRAMIK SEVA SAMITI,social services urban rural chhattisgarh adults women youth
SHRI BAJRANG VIKAS MANDAL TRUST,social services urban rural gujarat adults children women youth
Shri Siyaram Sewa Sansthan,health urban rural chhattisgarh adolescents adults children elderly women youth
SNEH FOUNDATION,health urban rural uttar pradesh children chronically ill construction workers girl child homeless juvenile ngos women
SUMANA,social services urban rural karnataka adolescents adults children dalits elderly girl child hiv orphans rural poor slum dwellers women youth
SUMER CHANDRA MEMORIAL JANKALYAN SAMITI,environment urban rural uttar pradesh rural poor women youth
SWASTH FOUNDATION,health urban maharashtra adolescents adults children chronically ill elderly girl child patients slum dwellers urban poor women
Swasti,health urban rural all india adolescents adults children commercial sex workers domestic workers factory workers healthcare workers hiv ngos
TALENTS EDUCATIONAL AND CULTURAL CHARITABLE SOCIETY,education and research urban rural kerala adolescents adults children
TARUNI,social services urban rural andhra pradesh adolescents adults artisans children girl child students women youth
THE EASTERN REGIONAL BOARD OF HEALTH SERVICES SOCIETY,health urban rural chhattisgarh adolescents adults children patients women
Udaan Foundation,social services urban rural all india adolescents adults beggars children elderly girl child homeless slum dwellers street children tribals urban poor women youth
Usa Utpadak Sangh,social services rural maharashtra adults farmers farm labourers
V10 JAIN CHARITABLE TRUST,social services urban rural karnataka adolescents youth
VIJAYGURU TRUST,social services urban rural all india adults
WHEREVER THE NEED INDIA SERVICES,health urban rural puducherry adolescents adults children dalits disaster affected displaced persons girl child ngos physically challenged rural poor slum dwellers students teachers urban poor women youth
WORLD OF INITIATIVE SATIETY AND HEALTH FOUNDATION,environment urban rural west bengal adults animals birds children elderly patients plants students teachers
Young Mens Christian Association of Gandhidham,social services urban rural gujarat accident victims adolescents adults animal lovers artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile lesbian gays bisexuals transgender mentally challenged migrants organ donors orphans patients physically challenged plants prisoners refugees rickshawallahs drivers rural poor scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers weavers women youth
ZMQ Development,health rural delhi adolescents children chronically ill girl child healthcare workers mentally challenged ngos patients physically challenged rural poor women youth
ABINASHPUR SOCIAL WELFARE ASSOCIATE,health urban rural west bengal adolescents adults children healthcare workers medical practioners patients rural poor students urban poor women youth
Action Research and Training for Health society,health urban rural rajasthan adolescents adults children elderly healthcare workers patients rural poor tribals women
Activists Action Group,social services urban rural gujarat adults artisans artists weavers women youth
AFFU'S WOMAN WELFARE ASSOCIATION,education and research urban rural karnataka adolescents adults artisans children disaster affected displaced persons domestic workers elderly farmers farm labourers girl child orphans rural poor slum dwellers street children students urban poor volunteers women youth
AKASH MEMORIAL CHARITABLE TRUST,education and research urban delhi adolescents adults children elderly girl child students teachers women youth
All India Society for Electronics and Computer Training (AISECT),education and research urban rural all india adults construction workers dalits displaced persons domestic workers elderly factory workers farmers farm labourers medical practioners migrants ngos orphans rickshawallahs drivers rural poor sportspersons street children students teachers tribals urban poor volunteers women youth
ALTERNATIVE FOR RURAL MOVEMENT,social services rural odisha adolescents adults children dalits disaster affected displaced persons domestic workers elderly farmers farm labourers firemen girl child healthcare workers hiv homeless rural poor street children students volunteers women youth
Amar Shanti Vikas Sanstha,social services urban rural jharkhand adults women youth
ANIMAL CARE TRUST,environment urban rural tamil nadu animal lovers animals birds farmers farm labourers
Association for promotion sustainable development,environment urban rural haryana children dalits ngos women
Association for Sanitation and Health Activities,social services urban rural all india adults children women youth
ASSOCIATION FOR SOCIAL AND HUMAN RURAL ACTIVITY (ASHRA),social services urban rural odisha adults chronically ill patients women
ASSOCIATION FOR SOCIAL HEALTH IN INDIA,social services urban rural delhi children girl child students women
Astha Gram Seva,social services urban rural bihar adolescents adults women youth
Bal Sakha,social services urban rural bihar adolescents children girl child homeless juvenile
BANDIPORA COLLEGE OF INFORMATION TECHNOLOGY,education and research urban rural jammu and kashmir artisans girl child healthcare workers hiv homeless mentally challenged orphans physically challenged prisoners street children students tribals urban poor volunteers women youth
BETHESDA CHARITABLE ENDEAVORS,social services urban rural delhi adolescents adults children women youth
BHARTIYA JANSEWA SANSTHAN,health urban rural all india rural poor street children students urban poor youth
BHOJPUR MAHILA KALA KENDRA,social services urban rural bihar adolescents adults artisans children dalits disaster affected domestic workers elderly farmers farm labourers girl child homeless ngos orphans plants prisoners rural poor slum dwellers street children students teachers urban poor volunteers weavers women youth
Bombay Foundation of Deaf Women,social services urban maharashtra women
Choti Si Khushi,education and research urban delhi adolescents adults children domestic workers girl child ngos orphans slum dwellers students urban poor volunteers women
Church's Auxiliary for Social Action,social services urban rural all india adolescents adults children women youth
CITIZEN,social services urban rural jharkhand adolescents adults children women youth
Dalit Association for Social and Human Rights Awareness (DASHRA),social services urban rural bihar accident victims adolescents adults animal lovers animals birds armed forces artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ donors orphans patients physically challenged plants policemen porters prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers war victims weavers women youth
DESHBANDHU PALLI SEVA SANGHA,social services rural west bengal adolescents adults children women youth
DIVYA DARSHAN GRAMEEN ABHIVRADHI HAGU SWAYAM UDYOG TARABETI SANSTHE BAGALKOT,social services urban rural karnataka adolescents adults children women youth
Ecstasy Educational Trust,education and research urban rural maharashtra adolescents children students teachers youth
FACSIMILE ORISSA,social services urban rural odisha adolescents adults women youth
FEDERATION OF KUTCH INDUSTRIES ASSOCIATION,business and professional associations unions urban rural gujarat ngos
FACE (Foundation for Awareness Counselling and Education),education and research rural jharkhand adults children girl child students women
GOODWILL FOUNDATION,social services urban rural arunachal pradesh children farmers farm labourers juvenile rural poor students tribals urban poor women youth
Gramalaya Urban And Rural Development Initiatives And Network,environment urban rural tamil nadu adolescents adults children women
GURUKUL JYOTI WELFARE SOCIETY SAMITI,education and research urban rural all india adolescents adults children construction workers domestic workers girl child healthcare workers hiv homeless mentally challenged migrants ngos organ donors orphans patients plants rural poor sportspersons students teachers tribals urban poor volunteers weavers women youth
Handicapped Orphans Living Yerd Working Organization for Rural Development Society(HOLYWORDS),health urban rural andhra pradesh dalits hiv orphans physically challenged rural poor slum dwellers street children urban poor women youth
Health Education and Development Society,social services urban rural tamil nadu adolescents adults children elderly hiv patients women youth
Institution of Secondary Distance Education Society,social services urban rural madhya pradesh adolescents adults
INTERIOR OUTREACH MINISTRIES ASSOCIATION,social services urban rural andhra pradesh adolescents adults women youth
KASINADHUNI DURGAMBA BUTCHIAH TRUST,social services rural andhra pradesh mentally challenged
KNOWLEDGE AND OPPORTUNITY FOR DEVELOPMENT AND EMPOWERMENT FOUNDATION,social services urban rural all india adolescents children
KOSHISH- A DIVINE HAND FOUNDATION,social services urban rural all india adults children girl child rural poor urban poor women youth
"KOSHISH THE FOUNDATION FOR PEACE, NATIONAL INTEGRATION AND SOCIAL JUSTICE",social services urban rural jammu and kashmir adults rural poor street children urban poor
Madhuvan Foundation,social services urban rural all india adolescents adults children elderly farmers farm labourers girl child hiv ngos slum dwellers street children students tribals urban poor volunteers women youth
MAYURBHANJ BIOLOGICAL RESEARCH,environment urban rural bihar accident victims adolescents adults animal lovers animals birds artisans beggars blood donors children commercial sex workers construction workers disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ donors
MERCY AND GRACE CHARITABLE TRUST,social services urban rural andhra pradesh children dalits disaster affected orphans rural poor street children students tribals women youth
Mother Teresa Jan Kalyan Samiti,social services urban rural uttar pradesh disaster affected girl child orphans
THE MUDHIYOR BALAR KUDUMBA GRAMA PANNAI,social services urban rural tamil nadu adolescents adults children elderly girl child homeless juvenile orphans rural poor students urban poor women youth
Nandini Mahila Samiti,social services rural odisha adolescents adults children women youth
OSCAR MEDICAL FOUNDATION AND RESEARCH CENTRE,social services urban rural all india adolescents adults women youth
Pragati Jubak Sangha,social services urban rural odisha adolescents children girl child physically challenged rural poor teachers women youth
PRAYAS VOLUNTARY ORGANISATION,social services urban rural odisha adults women youth
PUBLIC HEALTH JUSTICE,health urban maharashtra adolescents adults children elderly girl child women youth
PUJA JANHIT SANSTHAN DURGAULI,social services urban rural bihar adults children women youth
Pushp-kiran Union for Real Enlightenment (PURE),education and research urban rural delhi artisans beggars blood donors children chronically ill construction workers dalits disaster affected displaced persons domestic workers elderly factory workers farmers farm labourers girl child homeless medical practioners ngos orphans patients physically challenged rickshawallahs drivers rural poor slum dwellers sportspersons street children students teachers tribals urban poor volunteers weavers women youth
ROTARY CLUB OF JUBILEE HILLS CHARITABLE TRUST,social services urban rural andhra pradesh accident victims adolescents adults
RRR EDUCATIONAL SOCIETY,social services urban rural andhra pradesh adolescents adults animal lovers children chronically ill commercial sex workers construction workers dalits disaster affected domestic workers elderly farmers farm labourers girl child healthcare workers hiv homeless juvenile legal workers mentally challenged migrants ngos orphans physically challenged plants rural poor slum dwellers street children students tribals truckers urban poor volunteers weavers women youth
Rural Reconstruction and Development Society,social services urban rural andhra pradesh adolescents adults children dalits farmers farm labourers rural poor women youth
SANKATMOCHAN FOUNDATION,social services urban rural delhi adolescents adults women youth
Sankha Suvra Welfare Society,social services urban rural all india rural poor slum dwellers street children
Sayyad Salar Educational Society,education and research urban uttar pradesh adolescents children students youth
Scheduled Caste Scheduled Tribe Welfare And Development Society,social services urban rural delhi adults tribals women
Shilamoti Bahuudeshiy Sanstha,social services urban rural maharashtra adults
SHRI SARDAR MAL BHANDARI CHARITABLE TRUST,health urban rural rajasthan accident victims adolescents adults armed forces artisans artists beggars blood donors children chronically ill commercial sex workers construction workers dalits disaster affected displaced persons domestic workers elderly ethnic groups factory workers farmers farm labourers firemen freedom fighters girl child healthcare workers hiv homeless juvenile legal workers lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ donors orphans patients physically challenged policemen porters prisoners refugees rickshawallahs drivers rural poor salt workers scavengers human slum dwellers sportspersons street children students teachers tribals truckers urban poor volunteers war victims weavers women youth
SHRI VIDYA WELFARE AND RURAL DEVELOPMENT EDUCATION TRUST,social services urban rural karnataka adolescents adults women youth
Sir Syed Group of Schools,social services urban west bengal children elderly ngos students youth
Social Educational and Economic Development Society (SEEDS),social services urban rural andhra pradesh adolescents adults women youth
Social Entrepreneurs Foundation India,social services urban rural andhra pradesh adolescents adults animal lovers artisans children commercial sex workers dalits domestic workers elderly farmers farm labourers girl child ngos rural poor slum dwellers street children students urban poor women youth
Society to Create Awareness on Public Safety,education and research urban rural all india adolescents
Sri Ram Krishna Asram Trust,philanthropic intermediaries and voluntarism promotion urban rural west bengal adolescents adults children
STAIRS,culture and recreation urban rural all india adolescents children rural poor slum dwellers sportspersons street children students volunteers youth
Suman Shaikshanik Sevabhavi Sanstha Mukti,social services urban rural maharashtra adolescents adults children
Sumati Foundation,education and research urban rural all india adolescents adults children dalits disaster affected domestic workers ethnic groups farmers farm labourers girl child healthcare workers hiv homeless migrants ngos orphans physically challenged rural poor slum dwellers street children students tribals urban poor women youth
Supporting Association for Thematic and Holistic Initiatives (SATHI),social services rural uttar pradesh ngos rural poor students volunteers women youth
Surya Jan Manas Vikas Samiti,social services rural bihar adults rural poor tribals volunteers women youth
"The Development on Communication, Arts & Culture, Science,Economic & Education Centre",social services urban rural karnataka adolescents adults artists beggars blood donors children disaster affected displaced persons domestic workers elderly farmers farm labourers girl child healthcare workers hiv ngos orphans patients plants street children students weavers women youth
THE DIVINE LIGHT,education and research urban rural all india adolescents construction workers girl child urban poor women
THE RURAL AREA YOUTH DEVELOPMENT ORGANISATION (RAYDO),social services rural manipur adults rural poor women youth
VILLAGE DEVELOPMENT SOCIETY (VDS),social services rural tamil nadu adults children tribals women
Vishwa Seva Educational Trust,education and research urban rural all india children
Vivekananda Kendra Vidyalayas Arunachal Pradesh Trust,education and research urban rural arunachal pradesh children girl child rural poor students teachers tribals
WOKHA DISTRICT CRAFT ASSOCIATION,social services urban nagaland artisans blood donors elderly orphans rural poor street children tribals urban poor volunteers weavers women youth
WOMEN AND RURAL URBAN DEVELOPMENT ASSOCIATION,health urban rural all india accident victims adults children commercial sex workers construction workers girl child healthcare workers hiv homeless migrants rickshawallahs drivers rural poor slum dwellers street children students teachers urban poor volunteers women youth
YOUTH FOR ACTION,social services rural karnataka adolescents children rural poor women youth
Anjali Magasvargiya Mahila Vikas Bahuuddeshiya Sanstha Murumtola,business and professional associations unions rural maharashtra artisans artists children girl child students women youth
Avehi Public Charitable (Educational)Trust,education and research urban maharashtra children girl child orphans rural poor street children students women youth
Belgaum Diocesan Social Service Society,social services urban rural karnataka adults blood donors children dalits disaster affected elderly ethnic groups girl child healthcare workers hiv physically challenged rural poor street children women youth
BHAGINI NIKETAN,social services urban rural gujarat adolescents adults physically challenged women
BHAGWAN MANAV KALYAN SAMITI,social services rural uttar pradesh adults children dalits farmers farm labourers girl child mentally challenged rural poor women youth
Bharti Sanskar Kendra,social services rural maharashtra children girl child students women youth
CHARAK SWASTHYA BAHUUDHESIA SANSTHA,social services urban rural maharashtra adults animals birds artisans artists blood donors children farmers farm labourers healthcare workers hiv juvenile legal workers mentally challenged plants rural poor sportspersons teachers women youth
Dharti Charitable Trust,social services rural gujarat animal lovers disaster affected farmers farm labourers healthcare workers rural poor sportspersons students youth
Dishari,social services urban rural tripura adolescents adults artisans farmers farm labourers porters rural poor women youth
Drishti Human Resource Centre,philanthropic intermediaries and voluntarism promotion urban rural maharashtra blood donors children ngos organ donors students tribals women youth
Ekatmik Vikas Sanstha,environment rural maharashtra farmers farm labourers tribals women
Grace Ministries,social services rural andhra pradesh adolescents adults beggars children dalits disaster affected elderly factory workers farmers farm labourers girl child homeless orphans patients physically challenged rickshawallahs drivers rural poor scavengers human slum dwellers street children students teachers tribals women youth
Gramnirman Bahuuddeshiya Sanstha Khambada,education and research urban rural all india adults blood donors children commercial sex workers construction workers disaster affected domestic workers elderly factory workers farmers farm labourers girl child healthcare workers hiv legal workers medical practioners students teachers tribals urban poor volunteers women youth
